original,replacement
secure shell,SSH
no sequel,NoSQL
my sequel,MySQL
sequel server,SQL Server
post gres,Postgres
type script,TypeScript
java script,JavaScript
dev ops,DevOps
graph QL,GraphQL
node JS,Node.js
node js,Node.js
react native,React Native
objective C,Objective-C
see sharp,C#
C plus plus,C++
web socket,WebSocket
web sockets,WebSockets
local host,localhost
o auth,OAuth
kube control,kubectl
USB C,USB-C
USB A,USB-A
WiFi,Wi-Fi
wifi,Wi-Fi
4 K,4K
two K,2K
eight K,8K
M dot 2,M.2
M dot two,M.2
PCI E,PCIe
DDR five,DDR5
DDR four,DDR4
I O S,iOS
TV OS,tvOS
watch OS,watchOS
vision OS,visionOS
CI CD,CI/CD
rest API,REST API
